# OBER — OLX kategoriyalari (avtomatik topilgan)
# Qo'lda tahrirlamang: kategoriya_top.py qayta yozadi.
# Jami: 802

transport/avtobusy|Transport / Avtobuslar
transport/legkovye-avtomobili/volvo|Transport / Yengil avtomashinalar / Volvo
transport/legkovye-avtomobili/voyah|Transport / Yengil avtomashinalar / Voyah
transport/legkovye-avtomobili/weltmeister|Transport / Yengil avtomashinalar / Weltmeister
transport/legkovye-avtomobili/wuling|Transport / Yengil avtomashinalar / Wuling
transport/legkovye-avtomobili/xiaomi|Transport / Yengil avtomashinalar / Xiaomi
transport/legkovye-avtomobili/xpeng|Transport / Yengil avtomashinalar / Xpeng
transport/legkovye-avtomobili/zaz|Transport / Yengil avtomashinalar / Zaz
transport/legkovye-avtomobili/zeekr|Transport / Yengil avtomashinalar / Zeekr
transport/moto/kvadrotsikly|Transport / Moto / Kvadrosikllar
transport/moto/mopedy-skutery|Transport / Moto / Mopedlar-skuterlar
transport/moto/moto-prochee|Transport / Moto / Boshqa moto
transport/moto/mototsikly|Transport / Moto / Motosikllar
transport/motozapchasti-i-aksessuary/moto-aksessuary|Transport / Moto ehtiyot qismlari va aksessuarlar / Moto aksessuarlar
transport/motozapchasti-i-aksessuary/motoekipirovka|Transport / Moto ehtiyot qismlari va aksessuarlar / Moto kiyim-bosh va anjomlar
transport/motozapchasti-i-aksessuary/motozapchasti|Transport / Moto ehtiyot qismlari va aksessuarlar / Moto ehtiyot qismlar
transport/pritsepy|Transport / Tirkamalar
transport/prochie-zapchasti|Transport / Boshqa ehtiyot qismlar
transport/selhoztehnika|Transport / Qishloq xo'jalik texnikasi
transport/shiny-diski-i-kolesa/avtoshiny|Transport / Shinalar, disklar va g'ildiraklar / Avtoshinalar
transport/shiny-diski-i-kolesa/diski|Transport / Shinalar, disklar va g'ildiraklar / Disklar
transport/shiny-diski-i-kolesa/kolesa-v-sbore|Transport / Shinalar, disklar va g'ildiraklar / Yig'ilgan g'ildiraklar
transport/shiny-diski-i-kolesa/kolpaki|Transport / Shinalar, disklar va g'ildiraklar / Qalpoqlar
transport/shiny-diski-i-kolesa/motoshiny|Transport / Shinalar, disklar va g'ildiraklar / Motoshinalar
transport/spetstehnika/avtocrane|Transport / Maxsus texnika / Avtokran
transport/spetstehnika/commercial|Transport / Maxsus texnika / Yuk mashinalari
transport/spetstehnika/concrete_mixer|Transport / Maxsus texnika / Beton qorgichlar
transport/spetstehnika/excavators|Transport / Maxsus texnika / Ekskavatorlar
transport/spetstehnika/graders|Transport / Maxsus texnika / Greyderlar
transport/spetstehnika/hauler|Transport / Maxsus texnika / Tyagach
transport/spetstehnika/loaders|Transport / Maxsus texnika / Yuklagich
transport/spetstehnika/vehicle_others|Transport / Maxsus texnika / Boshqalar
transport/vodnyy-transport|Transport / Suv transporti
transport/zapchasti-dlya-spets-sh-tehniki|Transport / Maxsus texnika uchun qismlar
elektronika/aksessuary-i-komplektuyuschie|Elektr jihozlari / Aksessuarlar va komplekt jihozlar
elektronika/audiotehnika/akusticheskie-sistemy|Elektr jihozlari / Audiotexnika / Akustika tizimlari
elektronika/audiotehnika/cd-md-vinilovye-proigryvateli|Elektr jihozlari / Audiotexnika / Cd/md/vinil ovoz chiqargichlar
elektronika/audiotehnika/magnitoly|Elektr jihozlari / Audiotexnika / Magnitolalar
elektronika/audiotehnika/mp3-pleery|Elektr jihozlari / Audiotexnika / Mp3 pleterlari
elektronika/audiotehnika/muzykalnye-tsentry|Elektr jihozlari / Audiotexnika / Musiqa markazlari
elektronika/audiotehnika/naushniki|Elektr jihozlari / Audiotexnika / Naushniklar
elektronika/audiotehnika/portativnaya-akustika|Elektr jihozlari / Audiotexnika / Portativ akustika
elektronika/audiotehnika/prochaya-audiotehnika|Elektr jihozlari / Audiotexnika / Boshqa audiotexnika
elektronika/audiotehnika/radiopriemniki|Elektr jihozlari / Audiotexnika / Radiopriyomniklar
elektronika/audiotehnika/usiliteli-resivery|Elektr jihozlari / Audiotexnika / Ovoz kuchaytirgichlar-resiverlar
elektronika/foto-video/aksessuary-dlya-foto-videokamer|Elektr jihozlari / Foto/ video / Foto/ videokameralar uchun aksessuarlar
elektronika/foto-video/fotovspyshki|Elektr jihozlari / Foto/ video / Fotochaqnagichlar
elektronika/foto-video/obektivy|Elektr jihozlari / Foto/ video / Obyektivlar
elektronika/foto-video/plenochnye-fotoapparaty|Elektr jihozlari / Foto/ video / Plenkali fotoapparatlar
elektronika/foto-video/shtativy-monopody|Elektr jihozlari / Foto/ video / Shtativlar/ monopodlar
elektronika/foto-video/teleskopy-binokli|Elektr jihozlari / Foto/ video / Teleskoplar/binokllar
elektronika/foto-video/tsifrovye-fotoapparaty|Elektr jihozlari / Foto/ video / Raqamli fotoapparatlar
elektronika/foto-video/videokamery|Elektr jihozlari / Foto/ video / Videokameralar
elektronika/igry-i-igrovye-pristavki/aksessuary|Elektr jihozlari / O'yinlar va o'yin anjomlari / Aksessuarlar
elektronika/igry-i-igrovye-pristavki/igry-dlya-pc|Elektr jihozlari / O'yinlar va o'yin anjomlari / PC uchun o'yinlar
elektronika/igry-i-igrovye-pristavki/igry-dlya-pristavok|Elektr jihozlari / O'yinlar va o'yin anjomlari / Pristavka uchun o'yinlar
elektronika/igry-i-igrovye-pristavki/pristavki|Elektr jihozlari / O'yinlar va o'yin anjomlari / Pristavkalar
elektronika/individualnyy-uhod/blood_pressure_monitors|Elektr jihozlari / Yakka tartibdagi parvarish / Tonometrlar
elektronika/individualnyy-uhod/britvy-epilyatory-mashinki-dlya-strizhki|Elektr jihozlari / Yakka tartibdagi parvarish / Britvalar,epilyatorlar, soch olish mashinalari
elektronika/individualnyy-uhod/feny-ukladka-volos|Elektr jihozlari / Yakka tartibdagi parvarish / Fenlar, soch turmaklash
elektronika/individualnyy-uhod/massagers|Elektr jihozlari / Yakka tartibdagi parvarish / Massaj apparatlari
elektronika/individualnyy-uhod/nebulizers|Elektr jihozlari / Yakka tartibdagi parvarish / Ingalatorlar
elektronika/individualnyy-uhod/oxygen_concentrators|Elektr jihozlari / Yakka tartibdagi parvarish / Kislorod apparatlari va kontsentratorlari
elektronika/individualnyy-uhod/prochaya-tehnika-dlya-individualnogo-uhoda|Elektr jihozlari / Yakka tartibdagi parvarish / Yakka parvarish uchun boshqa texnika
elektronika/individualnyy-uhod/vesy|Elektr jihozlari / Yakka tartibdagi parvarish / Tarozilar
elektronika/klimaticheskoe-oborudovanie/air_conditioners|Elektr jihozlari / Iqlim qurilmalari / Konditsionerlar
elektronika/klimaticheskoe-oborudovanie/air_humidifiers|Elektr jihozlari / Iqlim qurilmalari / Havoni namlagichlar
elektronika/klimaticheskoe-oborudovanie/air_purifiers_and_ozonators|Elektr jihozlari / Iqlim qurilmalari / Havoni tozalagichlar va ozonatorlar
elektronika/klimaticheskoe-oborudovanie/fans|Elektr jihozlari / Iqlim qurilmalari / Ventilyatorlar
elektronika/klimaticheskoe-oborudovanie/heaters|Elektr jihozlari / Iqlim qurilmalari / Isitgichlar
elektronika/klimaticheskoe-oborudovanie/others_climate_electronics|Elektr jihozlari / Iqlim qurilmalari / Boshqa
elektronika/klimaticheskoe-oborudovanie/spare_parts_and_accessories|Elektr jihozlari / Iqlim qurilmalari / Ehtiyot qismlar va aksessuarlar
elektronika/klimaticheskoe-oborudovanie/thermometers_and_hygrometers|Elektr jihozlari / Iqlim qurilmalari / Termometrlar va gigrometrlar
elektronika/kompyutery/aksessuary|Elektr jihozlari / Kompyuterlar / Aksessuarlar
elektronika/kompyutery/drugoe|Elektr jihozlari / Kompyuterlar / Boshqalar
elektronika/kompyutery/komplektuyuschie|Elektr jihozlari / Kompyuterlar / Komplekt jihozlar
elektronika/kompyutery/monitory|Elektr jihozlari / Kompyuterlar / Monitorlar
elektronika/kompyutery/nastolnye/all_in_one_pc|Elektr jihozlari / Kompyuterlar / Stolga qo'yiladigan / Monoblok
elektronika/kompyutery/nastolnye/desktop_pc|Elektr jihozlari / Kompyuterlar / Stolga qo'yiladigan / Sistemali blok
elektronika/kompyutery/nastolnye/others_pc|Elektr jihozlari / Kompyuterlar / Stolga qo'yiladigan / Boshqa
elektronika/kompyutery/noutbuki|Elektr jihozlari / Kompyuterlar / Noutbuklar
elektronika/kompyutery/periferiynye-ustroystva|Elektr jihozlari / Kompyuterlar / Periferiya qurilmalari
elektronika/kompyutery/planshetnye-kompyutery|Elektr jihozlari / Kompyuterlar / Planshet kompyuterlar
elektronika/kompyutery/rashodnye-materialy|Elektr jihozlari / Kompyuterlar / Chiqim materiallari
elektronika/kompyutery/servery|Elektr jihozlari / Kompyuterlar / Serverlar
elektronika/kompyutery/vneshnie-nakopiteli|Elektr jihozlari / Kompyuterlar / Tashqi jamlagichlar
elektronika/prochaja-electronika|Elektr jihozlari / Boshqa elektronika
elektronika/smart_devices/fitness_trackers|Elektr jihozlari / Aqlli qurilmalar / Fitness-brasletlar
elektronika/smart_devices/other_smartcategory|Elektr jihozlari / Aqlli qurilmalar / Boshqa
elektronika/smart_devices/smart_home|Elektr jihozlari / Aqlli qurilmalar / Aqlli uy
elektronika/smart_devices/smart_watches|Elektr jihozlari / Aqlli qurilmalar / Aqlli soatlar
elektronika/tehnika-dlya-doma/filtry-dlya-vody/others_water_filters|Elektr jihozlari / Uy uchun texnika / Suv uchun filtrlar / Boshqa
elektronika/tehnika-dlya-doma/filtry-dlya-vody/water_coolers|Elektr jihozlari / Uy uchun texnika / Suv uchun filtrlar / Suv sovutgichlar (kulerlar)
elektronika/tehnika-dlya-doma/filtry-dlya-vody/water_filters_filters|Elektr jihozlari / Uy uchun texnika / Suv uchun filtrlar / Suv filtrlari
elektronika/tehnika-dlya-doma/prochaya-tehnika-dlya-doma|Elektr jihozlari / Uy uchun texnika / Uy uchun boshqa texnika
elektronika/tehnika-dlya-doma/pylesosy|Elektr jihozlari / Uy uchun texnika / Pilesoslar
elektronika/tehnika-dlya-doma/shveynye-mashiny-i-overloki|Elektr jihozlari / Uy uchun texnika / Tikuv mashinalari,overloklar
elektronika/tehnika-dlya-doma/stiralnye-mashiny|Elektr jihozlari / Uy uchun texnika / Kir yuvish mashinalari
elektronika/tehnika-dlya-doma/utyugi|Elektr jihozlari / Uy uchun texnika / Dazmollar
elektronika/tehnika-dlya-doma/voltage_stabilizers|Elektr jihozlari / Uy uchun texnika / Kuchlanish stabilizatorlari
elektronika/tehnika-dlya-doma/vyazalnye-mashiny|Elektr jihozlari / Uy uchun texnika / To'quv mashinalari
elektronika/tehnika-dlya-kuhni/air_fryers_electric_grills|Elektr jihozlari / Oshxona uchun texnika / Aero-grillar, elektr-grillar
elektronika/tehnika-dlya-kuhni/deep_fryers|Elektr jihozlari / Oshxona uchun texnika / Friturlar
elektronika/tehnika-dlya-kuhni/elektrochayniki|Elektr jihozlari / Oshxona uchun texnika / Elektr choynaklari
elektronika/tehnika-dlya-kuhni/hlebopechki|Elektr jihozlari / Oshxona uchun texnika / Non pechlari
elektronika/tehnika-dlya-kuhni/holodilniki|Elektr jihozlari / Oshxona uchun texnika / Muzlatgichlar
elektronika/tehnika-dlya-kuhni/kofevarki-kofemolki|Elektr jihozlari / Oshxona uchun texnika / Kofedamlagichlar-kofemolkalar
elektronika/tehnika-dlya-kuhni/kuhonnye-kombayny-i-izmelchiteli|Elektr jihozlari / Oshxona uchun texnika / Oshxona kombaynlari-maydalagichlar
elektronika/tehnika-dlya-kuhni/mikrovolnovye-pechi|Elektr jihozlari / Oshxona uchun texnika / Mikroto'lqinli pechlar
elektronika/tehnika-dlya-kuhni/parovarki|Elektr jihozlari / Oshxona uchun texnika / Parovarkalar/multivarkalar
elektronika/tehnika-dlya-kuhni/plity-pechi|Elektr jihozlari / Oshxona uchun texnika / Plitalar-pechlar
elektronika/tehnika-dlya-kuhni/posudomoechnye-mashiny|Elektr jihozlari / Oshxona uchun texnika / Idish-tovoq yuvuvchi mashinalar
elektronika/tehnika-dlya-kuhni/prochaya-tehnika-dlya-kuhni|Elektr jihozlari / Oshxona uchun texnika / Oshxona uchun boshqa texnika
elektronika/tehnika-dlya-kuhni/toasters_waffle_makers_sandwich_makers|Elektr jihozlari / Oshxona uchun texnika / Tosterlar, vafli tayyorlagichlar, sendvich tayyorlagichlar
elektronika/tehnika-dlya-kuhni/vytyazhki|Elektr jihozlari / Oshxona uchun texnika / Vityajkalar
elektronika/telefony/aksessuary|Elektr jihozlari / Telefonlar / Aksessuarlar/ ehtiyot qismlari
elektronika/telefony/mobilnye-telefony|Elektr jihozlari / Telefonlar / Mobil telefonlar
elektronika/telefony/prochie-telefony|Elektr jihozlari / Telefonlar / Boshqa telefonlar
elektronika/telefony/sim-karty-tarify-nomera|Elektr jihozlari / Telefonlar / Sim-kartalar, tariflar, raqamlar
elektronika/telefony/statsionarnye-telefony|Elektr jihozlari / Telefonlar / Stasionar telefonlar
elektronika/telefony/walkie_talkies|Elektr jihozlari / Telefonlar / Ratsiyalar
elektronika/tv-videotehnika/aksessuary-dlya-tv-videotehniki/cables|Elektr jihozlari / Tv/ videotexnika / TV uchun aksessuarlar, video / Kabellar
elektronika/tv-videotehnika/aksessuary-dlya-tv-videotehniki/mounts|Elektr jihozlari / Tv/ videotexnika / TV uchun aksessuarlar, video / Kronshteynlar
elektronika/tv-videotehnika/aksessuary-dlya-tv-videotehniki/others_tv_accessories|Elektr jihozlari / Tv/ videotexnika / TV uchun aksessuarlar, video / Boshqa
elektronika/tv-videotehnika/aksessuary-dlya-tv-videotehniki/remote_controls|Elektr jihozlari / Tv/ videotexnika / TV uchun aksessuarlar, video / Pultlar
elektronika/tv-videotehnika/aksessuary-dlya-tv-videotehniki/smart_tv_boxes|Elektr jihozlari / Tv/ videotexnika / TV uchun aksessuarlar, video / Smart TV bokslar
elektronika/tv-videotehnika/dvd-pleery|Elektr jihozlari / Tv/ videotexnika / Media ovoz chiqargichlar
elektronika/tv-videotehnika/prochaya-tv-videotehnika|Elektr jihozlari / Tv/ videotexnika / Boshqa videotexnika
elektronika/tv-videotehnika/projectors|Elektr jihozlari / Tv/ videotexnika / Proyektorlar
elektronika/tv-videotehnika/sputnikovoe-tv|Elektr jihozlari / Tv/ videotexnika / Yo'ldoshli TV
elektronika/tv-videotehnika/televizory|Elektr jihozlari / Tv/ videotexnika / Televizorlar
nedvizhimost/doma/arenda-dolgosrochnaya|Ko'chmas mulk / Xususiy uylar / Ijara uzoq muddatga
nedvizhimost/doma/obmen|Ko'chmas mulk / Xususiy uylar / Ayirboshlash
nedvizhimost/doma/prodazha|Ko'chmas mulk / Xususiy uylar / Sotish
nedvizhimost/garazhi-stoyanki/arenda|Ko'chmas mulk / Garajlar / turargohlar / Ijara
nedvizhimost/garazhi-stoyanki/prodazha|Ko'chmas mulk / Garajlar / turargohlar / Sotish
nedvizhimost/kommercheskie-pomeshcheniya/arenda|Ko'chmas mulk / Tijorat binolari / Ijara
nedvizhimost/kommercheskie-pomeshcheniya/prodazha|Ko'chmas mulk / Tijorat binolari / Sotish
nedvizhimost/kvartiry/arenda-dolgosrochnaya|Ko'chmas mulk / Kvartiralar / Ijara uzoq muddatga
nedvizhimost/kvartiry/obmen|Ko'chmas mulk / Kvartiralar / Ayirboshlash
nedvizhimost/kvartiry/prodazha|Ko'chmas mulk / Kvartiralar / Sotish
nedvizhimost/posutochno_pochasovo/dachi|Ko'chmas mulk / Sutkalik  ijarasi / Uy / Dacha
nedvizhimost/posutochno_pochasovo/hostel|Ko'chmas mulk / Sutkalik  ijarasi / Hostel
nedvizhimost/posutochno_pochasovo/kvartira|Ko'chmas mulk / Sutkalik  ijarasi / Kvartiralar
nedvizhimost/posutochno_pochasovo/oteli|Ko'chmas mulk / Sutkalik  ijarasi / Mehmonxonalar / Otellar
nedvizhimost/posutochno_pochasovo/sanatorii|Ko'chmas mulk / Sutkalik  ijarasi / Dam olish maskanlari
nedvizhimost/zemlja/arenda|Ko'chmas mulk / Yer uchastkasi / Ijara
nedvizhimost/zemlja/prodazha|Ko'chmas mulk / Yer uchastkasi / Sotish
dom-i-sad/hozyaystvennyy-inventar/air_fresheners_and_disinfectants|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Havo yangilash va dezinfeksiya
dom-i-sad/hozyaystvennyy-inventar/cleaning_supplies|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Tozalash uchun
dom-i-sad/hozyaystvennyy-inventar/containers_and_storage|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Konteyner va idishlar
dom-i-sad/hozyaystvennyy-inventar/for_pools|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Basseynlar uchun
dom-i-sad/hozyaystvennyy-inventar/laundry_and_drying|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Kir yuvish va quritish uchun
dom-i-sad/hozyaystvennyy-inventar/others_xoz_inventory|Uy va bog' / Xo'jalik jihozlari, maishiy kimyo / Boshqa
dom-i-sad/instrumenty/benzoinstrument|Uy va bog' / Jihozlar / Benzoinstrument
dom-i-sad/instrumenty/elektroinstrument/angle_grinders|Uy va bog' / Jihozlar / Elektr jihozlar / Bulg‘orlar
dom-i-sad/instrumenty/elektroinstrument/construction_mixers|Uy va bog' / Jihozlar / Elektr jihozlar / Qurilish mikserlari
dom-i-sad/instrumenty/elektroinstrument/construction_vacuum_cleaners|Uy va bog' / Jihozlar / Elektr jihozlar / Qurilish changyutgichlari
dom-i-sad/instrumenty/elektroinstrument/drills_and_screwdrivers|Uy va bog' / Jihozlar / Elektr jihozlar / Drellar va shurupburagichlar
dom-i-sad/instrumenty/elektroinstrument/heat_guns|Uy va bog' / Jihozlar / Elektr jihozlar / Qurilish fenlari
dom-i-sad/instrumenty/elektroinstrument/impact_wrenches|Uy va bog' / Jihozlar / Elektr jihozlar / Gaykovyortlar
dom-i-sad/instrumenty/elektroinstrument/jackhammers|Uy va bog' / Jihozlar / Elektr jihozlar / Beton sindirgich bolg‘alar (otboyniy molotok)
dom-i-sad/instrumenty/elektroinstrument/others_electrotools|Uy va bog' / Jihozlar / Elektr jihozlar / Boshqa
dom-i-sad/instrumenty/elektroinstrument/rotary_hammers|Uy va bog' / Jihozlar / Elektr jihozlar / Perforatorlar
dom-i-sad/instrumenty/elektroinstrument/routers|Uy va bog' / Jihozlar / Elektr jihozlar / Frezerlar
dom-i-sad/instrumenty/elektroinstrument/saws|Uy va bog' / Jihozlar / Elektr jihozlar / Arralar
dom-i-sad/instrumenty/elektroinstrument/spare_parts_and_accessories_electro|Uy va bog' / Jihozlar / Elektr jihozlar / Ehtiyot qismlar va butlovchi buyumlar
dom-i-sad/instrumenty/elektroinstrument/tile_cutters|Uy va bog' / Jihozlar / Elektr jihozlar / Plitka kesgichlar
dom-i-sad/instrumenty/measuring_tools|Uy va bog' / Jihozlar / O‘lchov asboblari
dom-i-sad/instrumenty/pnevmoinstrument|Uy va bog' / Jihozlar / Pnevmoinstrument
dom-i-sad/instrumenty/prochiy-instrument|Uy va bog' / Jihozlar / Boshqa jihozlar
dom-i-sad/instrumenty/ruchnoy-instrument/carpentry_and_locksmith_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Duradgor va slesar asboblari
dom-i-sad/instrumenty/ruchnoy-instrument/cutting_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Kesuvchi asboblar
dom-i-sad/instrumenty/ruchnoy-instrument/electrical_installation_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Elektr o‘rnatish asboblari
dom-i-sad/instrumenty/ruchnoy-instrument/impact_and_lever_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Uruvchi va leverli asboblar
dom-i-sad/instrumenty/ruchnoy-instrument/jacks|Uy va bog' / Jihozlar / Qo'l jihozlari / Domkratlar
dom-i-sad/instrumenty/ruchnoy-instrument/others_ruchnoy_tool|Uy va bog' / Jihozlar / Qo'l jihozlari / Boshqa
dom-i-sad/instrumenty/ruchnoy-instrument/painting_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Bo‘yoq ishlarida ishlatiladigan asboblar
dom-i-sad/instrumenty/ruchnoy-instrument/pliers_and_joint_tools|Uy va bog' / Jihozlar / Qo'l jihozlari / Sharnirli-qisqichli asboblar
dom-i-sad/instrumenty/ruchnoy-instrument/tool_sets|Uy va bog' / Jihozlar / Qo'l jihozlari / Asbob to‘plamlari
dom-i-sad/instrumenty/welding_equipment|Uy va bog' / Jihozlar / Payvandlash uskunalari
dom-i-sad/kantstovary-rashodnye-materialy/arts_and_crafts|Uy va bog' / Kanstovarlar-chiqim materiallari / Ijod va hobbi
dom-i-sad/kantstovary-rashodnye-materialy/consumables|Uy va bog' / Kanstovarlar-chiqim materiallari / Sarf materiallari
dom-i-sad/kantstovary-rashodnye-materialy/office_supplies|Uy va bog' / Kanstovarlar-chiqim materiallari / Ofis anjomlari
dom-i-sad/kantstovary-rashodnye-materialy/others_stationery|Uy va bog' / Kanstovarlar-chiqim materiallari / Boshqa
